id,split,text,entities,difficulty,pattern_type,missing_entities,has_typo,word_count
sp_ner_v2_train_00044,train,more than 184 meals meals are available. Need pickup soon.,"[[0, 19, ""QUANTITY""]]",hard,missing_entity,"FOOD_TYPE,EVENT_TYPE,LOCATION",False,
sp_ner_v2_train_00045,train,"instead of wasting food, we want to donate around 497 plates rajma rice from college fest at Noida. Contact soon. Pickup tonight.","[[43, 60, ""QUANTITY""], [61, 71, ""FOOD_TYPE""], [77, 89, ""EVENT_TYPE""], [93, 98, ""LOCATION""], [121, 128, ""TIME""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00046,train,We have around 214 plates of upma left after a college fest near Gurgaon. Collect tonight.,"[[8, 25, ""QUANTITY""], [29, 33, ""FOOD_TYPE""], [47, 59, ""EVENT_TYPE""], [65, 72, ""LOCATION""], [82, 89, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00047,train,318+ plates meals are available. Need pickup soon.,"[[0, 11, ""QUANTITY""]]",hard,missing_entity,"FOOD_TYPE,EVENT_TYPE,LOCATION",False,
sp_ner_v2_train_00048,train,"Donation available: around 247 plates upma from family function, location Noida, pickup around 10 PM.","[[20, 37, ""QUANTITY""], [38, 42, ""FOOD_TYPE""], [48, 63, ""EVENT_TYPE""], [74, 79, ""LOCATION""], [88, 100, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00049,train,packed lunch boxes left after a seminar in Bhopal. Pickup in the next hour.,"[[0, 18, ""FOOD_TYPE""], [32, 39, ""EVENT_TYPE""], [43, 49, ""LOCATION""], [58, 74, ""TIME""]]",hard,missing_entity,QUANTITY,False,
sp_ner_v2_train_00050,train,"Anyone can take a couple hundred meals of biryani? It is from a corporate event at Kolar Road, available by 9 PM.","[[16, 38, ""QUANTITY""], [42, 49, ""FOOD_TYPE""], [64, 79, ""EVENT_TYPE""], [83, 93, ""LOCATION""], [105, 112, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00051,train,Still have 311 plates dal rice after conference. Location is Lucknow. Pickup before 8 PM.,"[[11, 21, ""QUANTITY""], [22, 30, ""FOOD_TYPE""], [37, 47, ""EVENT_TYPE""], [61, 68, ""LOCATION""], [77, 88, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00052,train,more than 50 meals meals are available. Need pickup soon.,"[[0, 18, ""QUANTITY""]]",hard,missing_entity,"FOOD_TYPE,EVENT_TYPE,LOCATION",False,
sp_ner_v2_train_00053,train,"Donation available: 237 packets sandwiches from seminar, location Jaipur, pickup by 9 PM.","[[20, 31, ""QUANTITY""], [32, 42, ""FOOD_TYPE""], [48, 55, ""EVENT_TYPE""], [66, 72, ""LOCATION""], [81, 88, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00054,train,Still have 140 servings rajma rice after family funciton. Location is Delhi. Pickup soon.,"[[11, 23, ""QUANTITY""], [24, 34, ""FOOD_TYPE""], [41, 56, ""EVENT_TYPE""], [70, 75, ""LOCATION""], [84, 88, ""TIME""]]",hard,casual+typo,,True,
sp_ner_v2_train_00055,train,"paneer curry bacha hai, maybe 58 food packets, after hostel mess in Bhopal. Need pickup around 10 PM.","[[0, 12, ""FOOD_TYPE""], [30, 45, ""QUANTITY""], [53, 64, ""EVENT_TYPE""], [68, 74, ""LOCATION""], [88, 100, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00056,train,"Donation available: roughly 222 lunch boxes biryani from conference, location MP Nagar, pickup around 10 PM.","[[20, 43, ""QUANTITY""], [44, 51, ""FOOD_TYPE""], [57, 67, ""EVENT_TYPE""], [78, 86, ""LOCATION""], [95, 107, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00057,train,"paneer curry donate karna hai, 247 boxes approx, family function ke baad, location Mumbai, pickup after 6 PM.","[[0, 12, ""FOOD_TYPE""], [31, 40, ""QUANTITY""], [49, 64, ""EVENT_TYPE""], [83, 89, ""LOCATION""], [98, 108, ""TIME""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00058,train,"There is leftover chapati sabzi, around 262 boxes, from a corporate event in Pune. Pickup after 6 PM.","[[18, 31, ""FOOD_TYPE""], [40, 49, ""QUANTITY""], [58, 73, ""EVENT_TYPE""], [77, 81, ""LOCATION""], [90, 100, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00059,train,idli sambar left after a family function in Hyderabad. Pickup by 9 PM.,"[[0, 11, ""FOOD_TYPE""], [25, 40, ""EVENT_TYPE""], [44, 53, ""LOCATION""], [62, 69, ""TIME""]]",hard,missing_entity,QUANTITY,False,
sp_ner_v2_train_00060,train,"Anyone can take 21+ plates of roti sabzi? It is from a birthday party at Nagpur, available soon.","[[16, 26, ""QUANTITY""], [30, 40, ""FOOD_TYPE""], [55, 69, ""EVENT_TYPE""], [73, 79, ""LOCATION""], [91, 95, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00061,train,a few packets packed lunch boxes left after temple event near Arera Colony.,"[[0, 13, ""QUANTITY""], [14, 32, ""FOOD_TYPE""], [44, 56, ""EVENT_TYPE""], [62, 74, ""LOCATION""]]",hard,missing_entity,TIME,False,
sp_ner_v2_train_00062,train,we just finished a catering order in Hyderabad and have approx 209 packets of veg meals left. It may spoil if delayed. Pickup in the next hour.,"[[19, 33, ""EVENT_TYPE""], [37, 46, ""LOCATION""], [56, 74, ""QUANTITY""], [78, 87, ""FOOD_TYPE""], [126, 142, ""TIME""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00063,train,335 food packets veg biryani left after catering order. Pickup around 10 PM.,"[[0, 16, ""QUANTITY""], [17, 28, ""FOOD_TYPE""], [40, 54, ""EVENT_TYPE""], [63, 75, ""TIME""]]",hard,missing_entity,LOCATION,False,
sp_ner_v2_train_00064,train,some extra food veg meals can be donated after the seminar at Jaipur. Please collect by evening.,"[[0, 15, ""QUANTITY""], [16, 25, ""FOOD_TYPE""], [51, 58, ""EVENT_TYPE""], [62, 68, ""LOCATION""], [85, 95, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00065,train,We have 293 food packets of paratha rolls left after a religious event near Pune. Collect before 8 PM.,"[[8, 24, ""QUANTITY""], [28, 41, ""FOOD_TYPE""], [55, 70, ""EVENT_TYPE""], [76, 80, ""LOCATION""], [90, 101, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00066,train,Pickup before 8 PM. roughly 254 lunch boxes of idli sambar left after college fest near Bangalore.,"[[7, 18, ""TIME""], [20, 43, ""QUANTITY""], [47, 58, ""FOOD_TYPE""], [70, 82, ""EVENT_TYPE""], [88, 97, ""LOCATION""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00067,train,"There is leftover veg biryani, around a couple hundred meals, from a seminar in Gurgaon. Pickup early morning.","[[18, 29, ""FOOD_TYPE""], [38, 60, ""QUANTITY""], [69, 76, ""EVENT_TYPE""], [80, 87, ""LOCATION""], [96, 109, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00068,train,Still have 241 boxes chapati sabzi after hostel mess. Location is Nagpur. Pickup before lunch.,"[[11, 20, ""QUANTITY""], [21, 34, ""FOOD_TYPE""], [41, 52, ""EVENT_TYPE""], [66, 72, ""LOCATION""], [81, 93, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00069,train,"Donation available: 454 packets vada pav from reception, location Mumbai, pickup before 8 PM.","[[20, 31, ""QUANTITY""], [32, 40, ""FOOD_TYPE""], [46, 55, ""EVENT_TYPE""], [66, 72, ""LOCATION""], [81, 92, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00070,train,nearly 410 servings of vada pav are avaliable from a family function in Delhi. Pickup before 8 PM.,"[[0, 19, ""QUANTITY""], [23, 31, ""FOOD_TYPE""], [53, 68, ""EVENT_TYPE""], [72, 77, ""LOCATION""], [86, 97, ""TIME""]]",hard,formal+typo,,True,
sp_ner_v2_train_00071,train,"Donation available: a couple hundred meals idli sambar from school function, location Jaipur, pickup after 6 PM.","[[20, 42, ""QUANTITY""], [43, 54, ""FOOD_TYPE""], [60, 75, ""EVENT_TYPE""], [86, 92, ""LOCATION""], [101, 111, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00072,train,"There is leftover dal rice, around 441 packets, from a birthday party in Jaipur. Pickup before lunch.","[[18, 26, ""FOOD_TYPE""], [35, 46, ""QUANTITY""], [55, 69, ""EVENT_TYPE""], [73, 79, ""LOCATION""], [88, 100, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00073,train,"packed lunch boxes bacha hai, maybe nearly 89 servings, after college fest in Hyderabad. Need pickup in the next hour.","[[0, 18, ""FOOD_TYPE""], [36, 54, ""QUANTITY""], [62, 74, ""EVENT_TYPE""], [78, 87, ""LOCATION""], [101, 117, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00074,train,Pickup ASAP. 274 boxes of veg meals left after school function near Mumbai.,"[[7, 11, ""TIME""], [13, 22, ""QUANTITY""], [26, 35, ""FOOD_TYPE""], [47, 62, ""EVENT_TYPE""], [68, 74, ""LOCATION""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00075,train,We have more than 405 meals of packed lunch boxes left after a family function near Andheri. Collect in the next hour.,"[[8, 27, ""QUANTITY""], [31, 49, ""FOOD_TYPE""], [63, 78, ""EVENT_TYPE""], [84, 91, ""LOCATION""], [101, 117, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00076,train,"Please help, there is extra veg meals from our family function; quantity is roughly 257 lunch boxes, area Indore. Pickup after 6 PM.","[[28, 37, ""FOOD_TYPE""], [47, 62, ""EVENT_TYPE""], [76, 99, ""QUANTITY""], [106, 112, ""LOCATION""], [121, 131, ""TIME""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00077,train,Still have 460 servings roti sabzi after community lunch. Location is Vijay Nagar. Pickup early morning.,"[[11, 23, ""QUANTITY""], [24, 34, ""FOOD_TYPE""], [41, 56, ""EVENT_TYPE""], [70, 81, ""LOCATION""], [90, 103, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00078,train,415 boxes of paratha rolls are available from a birthday party in Kolar Road. Pickup within 2 hours.,"[[0, 9, ""QUANTITY""], [13, 26, ""FOOD_TYPE""], [48, 62, ""EVENT_TYPE""], [66, 76, ""LOCATION""], [85, 99, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00079,train,some extra food of paratha rolls are available from a temple event in Nagpur. Pickup in the next hour.,"[[0, 15, ""QUANTITY""], [19, 32, ""FOOD_TYPE""], [54, 66, ""EVENT_TYPE""], [70, 76, ""LOCATION""], [85, 101, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00080,train,Pickup after 6 PM. a few packets of dal rice left after office lunch near Jaipur.,"[[7, 17, ""TIME""], [19, 32, ""QUANTITY""], [36, 44, ""FOOD_TYPE""], [56, 68, ""EVENT_TYPE""], [74, 80, ""LOCATION""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00081,train,"veg meals bacha hai, maybe 55+ plates, after office lunch in Lucknow. Need pickup by 9 PM.","[[0, 9, ""FOOD_TYPE""], [27, 37, ""QUANTITY""], [45, 57, ""EVENT_TYPE""], [61, 68, ""LOCATION""], [82, 89, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00082,train,"Anyone can take 356 plates of paratha rolls? It is from a college fest at Delhi, available before midnight.","[[16, 26, ""QUANTITY""], [30, 43, ""FOOD_TYPE""], [58, 70, ""EVENT_TYPE""], [74, 79, ""LOCATION""], [91, 106, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00083,train,tomorrow morning pickup needed for 368 boxes sandwiches from reception in Bangalore.,"[[0, 16, ""TIME""], [35, 44, ""QUANTITY""], [45, 55, ""FOOD_TYPE""], [61, 70, ""EVENT_TYPE""], [74, 83, ""LOCATION""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00084,train,Leftover rajma rice after community lunch in Andheri. Need pickup before midnight.,"[[9, 19, ""FOOD_TYPE""], [26, 41, ""EVENT_TYPE""], [45, 52, ""LOCATION""], [66, 81, ""TIME""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00085,train,We have 112+ plates of poha left after a corporate event near Andheri. Collect before lunch.,"[[8, 19, ""QUANTITY""], [23, 27, ""FOOD_TYPE""], [41, 56, ""EVENT_TYPE""], [62, 69, ""LOCATION""], [79, 91, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00086,train,early morning pickup needed for some extra food food packets from community lunch in Indore.,"[[0, 13, ""TIME""], [32, 47, ""QUANTITY""], [48, 60, ""FOOD_TYPE""], [66, 81, ""EVENT_TYPE""], [85, 91, ""LOCATION""]]",hard,noisy_or_order_changed,,False,
sp_ner_v2_train_00087,train,"Can someone collect paneer curry from Andheri in the next hour? Quantity is 482 boxes, after hostel mess.","[[20, 32, ""FOOD_TYPE""], [38, 45, ""LOCATION""], [46, 62, ""TIME""], [76, 85, ""QUANTITY""], [93, 104, ""EVENT_TYPE""]]",hard,hinglish_or_reordered,,False,
sp_ner_v2_train_00088,train,"There is leftover food packets, around about 130 portions, from a office lunch in MP Nagar. Pickup ASAP.","[[18, 30, ""FOOD_TYPE""], [39, 57, ""QUANTITY""], [66, 78, ""EVENT_TYPE""], [82, 90, ""LOCATION""], [99, 103, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00089,train,"There is leftover biryani, around around 247 plates, from a hostel mess in Delhi. Pickup before 8 PM.","[[18, 25, ""FOOD_TYPE""], [34, 51, ""QUANTITY""], [60, 71, ""EVENT_TYPE""], [75, 80, ""LOCATION""], [89, 100, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00090,train,"Got more than 467 meals poha left from yesterday's wedding near Nagpur, pickup by evening.","[[4, 23, ""QUANTITY""], [24, 28, ""FOOD_TYPE""], [51, 58, ""EVENT_TYPE""], [64, 70, ""LOCATION""], [79, 89, ""TIME""]]",medium,casual,,False,
sp_ner_v2_train_00091,train,We have a couple hundred meals of dal rice left after a wedding near Kolar Road. Collect tonight.,"[[8, 30, ""QUANTITY""], [34, 42, ""FOOD_TYPE""], [56, 63, ""EVENT_TYPE""], [69, 79, ""LOCATION""], [89, 96, ""TIME""]]",easy,formal,,False,
sp_ner_v2_train_00092,train,Still have 387 pakets paneer curry after community lunch. Location is Gurgaon. Pickup after 6 PM.,"[[11, 21, ""QUANTITY""], [22, 34, ""FOOD_TYPE""], [41, 56, ""EVENT_TYPE""], [70, 77, ""LOCATION""], [86, 96, ""TIME""]]",hard,casual+typo,,True,
sp_ner_v2_train_00093,train,"Got a couple hundred meals veg biryani left from yesterday's conference near Noida, pickup around 10 PM.","[[4, 26, ""QUANTITY""], [27, 38, ""FOOD_TYPE""], [61, 71, ""EVENT_TYPE""], [77, 82, ""LOCATION""], [91, 103, ""TIME""]]",medium,casual,,False,
